ORIGEN,DESTINO,MOTIVO,VIAJES
SAN MARTIN DE BOLANOS,(MISMO MUNICIPIO),trabajo,893.5
SAN MARTIN DE BOLANOS,(OTRA ENTIDAD),trabajo,15.0
SAN MARTIN DE BOLANOS,(OTRO MUNICIPIO),trabajo,27.5
SAN MARTIN HIDALGO,(MISMO MUNICIPIO),trabajo,8995.3
SAN MARTIN HIDALGO,(OTRA ENTIDAD),trabajo,48.0
SAN MARTIN HIDALGO,(OTRO MUNICIPIO),trabajo,869.7
SAN MIGUEL EL ALTO,(MISMO MUNICIPIO),trabajo,13532.7
SAN MIGUEL EL ALTO,(OTRA ENTIDAD),trabajo,91.0
SAN MIGUEL EL ALTO,(OTRO MUNICIPIO),trabajo,358.3
SAN PEDRO TLAQUEPAQUE,(MISMO MUNICIPIO),trabajo,209695.5
SAN PEDRO TLAQUEPAQUE,(OTRA ENTIDAD),trabajo,1422.0
SAN PEDRO TLAQUEPAQUE,(OTRO MUNICIPIO),trabajo,103066.5
SAN SEBASTIAN DEL OESTE,(MISMO MUNICIPIO),trabajo,2059.8
SAN SEBASTIAN DEL OESTE,(OTRA ENTIDAD),trabajo,19.0
SAN SEBASTIAN DEL OESTE,(OTRO MUNICIPIO),trabajo,20.2
SANTA MARIA DE LOS ANGELES,(MISMO MUNICIPIO),trabajo,1046.9
SANTA MARIA DE LOS ANGELES,(OTRA ENTIDAD),trabajo,14.0
SANTA MARIA DE LOS ANGELES,(OTRO MUNICIPIO),trabajo,90.1
SANTA MARIA DEL ORO,(MISMO MUNICIPIO),trabajo,650.9
SANTA MARIA DEL ORO,(OTRA ENTIDAD),trabajo,4.0
SANTA MARIA DEL ORO,(OTRO MUNICIPIO),trabajo,10.1
SAYULA,(MISMO MUNICIPIO),trabajo,14473.9
SAYULA,(OTRA ENTIDAD),trabajo,53.0
SAYULA,(OTRO MUNICIPIO),trabajo,1207.1
TALA,(MISMO MUNICIPIO),trabajo,28993.4
TALA,(OTRA ENTIDAD),trabajo,114.0
TALA,(OTRO MUNICIPIO),trabajo,10169.6
TALPA DE ALLENDE,(MISMO MUNICIPIO),trabajo,6191.7
TALPA DE ALLENDE,(OTRA ENTIDAD),trabajo,11.0
TALPA DE ALLENDE,(OTRO MUNICIPIO),trabajo,183.3
TAMAZULA DE GORDIANO,(MISMO MUNICIPIO),trabajo,14638.1
TAMAZULA DE GORDIANO,(OTRA ENTIDAD),trabajo,171.0
TAMAZULA DE GORDIANO,(OTRO MUNICIPIO),trabajo,551.9
TAPALPA,(MISMO MUNICIPIO),trabajo,7583.1
TAPALPA,(OTRA ENTIDAD),trabajo,87.0
TAPALPA,(OTRO MUNICIPIO),trabajo,165.9
TECALITLAN,(MISMO MUNICIPIO),trabajo,5826.5
TECALITLAN,(OTRA ENTIDAD),trabajo,105.0
TECALITLAN,(OTRO MUNICIPIO),trabajo,753.5
TECHALUTA DE MONTENEGRO,(MISMO MUNICIPIO),trabajo,982.7
TECHALUTA DE MONTENEGRO,(OTRA ENTIDAD),trabajo,17.0
TECHALUTA DE MONTENEGRO,(OTRO MUNICIPIO),trabajo,410.3
TECOLOTLAN,(MISMO MUNICIPIO),trabajo,5674.5
TECOLOTLAN,(OTRA ENTIDAD),trabajo,12.0
TECOLOTLAN,(OTRO MUNICIPIO),trabajo,265.5
TENAMAXTLAN,(MISMO MUNICIPIO),trabajo,2585.9
TENAMAXTLAN,(OTRA ENTIDAD),trabajo,27.0
TENAMAXTLAN,(OTRO MUNICIPIO),trabajo,220.1
TEOCALTICHE,(MISMO MUNICIPIO),trabajo,13056.4
TEOCALTICHE,(OTRA ENTIDAD),trabajo,458.0
TEOCALTICHE,(OTRO MUNICIPIO),trabajo,1570.6
TEOCUITATLAN DE CORONA,(MISMO MUNICIPIO),trabajo,3716.3
TEOCUITATLAN DE CORONA,(OTRA ENTIDAD),trabajo,18.0
TEOCUITATLAN DE CORONA,(OTRO MUNICIPIO),trabajo,157.7
TEPATITLAN DE MORELOS,(MISMO MUNICIPIO),trabajo,62312.6
TEPATITLAN DE MORELOS,(OTRA ENTIDAD),trabajo,470.0
TEPATITLAN DE MORELOS,(OTRO MUNICIPIO),trabajo,1471.2
TEQUILA,(MISMO MUNICIPIO),trabajo,16555.6
TEQUILA,(OTRA ENTIDAD),trabajo,125.0
TEQUILA,(OTRO MUNICIPIO),trabajo,1048.4
TEUCHITLAN,(MISMO MUNICIPIO),trabajo,2631.6
TEUCHITLAN,(OTRA ENTIDAD),trabajo,30.0
TEUCHITLAN,(OTRO MUNICIPIO),trabajo,936.4
TIZAPAN EL ALTO,(MISMO MUNICIPIO),trabajo,8570.2
TIZAPAN EL ALTO,(OTRA ENTIDAD),trabajo,147.0
TIZAPAN EL ALTO,(OTRO MUNICIPIO),trabajo,288.8
TLAJOMULCO DE ZUNIGA,(MISMO MUNICIPIO),trabajo,193786.3
TLAJOMULCO DE ZUNIGA,(OTRA ENTIDAD),trabajo,3325.0
TLAJOMULCO DE ZUNIGA,(OTRO MUNICIPIO),trabajo,133164.9
TOLIMAN,(MISMO MUNICIPIO),trabajo,3360.1
TOLIMAN,(OTRA ENTIDAD),trabajo,17.0
TOLIMAN,(OTRO MUNICIPIO),trabajo,427.9
TOMATLAN,(MISMO MUNICIPIO),trabajo,15047.7
TOMATLAN,(OTRA ENTIDAD),trabajo,87.0
TOMATLAN,(OTRO MUNICIPIO),trabajo,225.3
TONALA,(MISMO MUNICIPIO),trabajo,153767.0
TONALA,(OTRA ENTIDAD),trabajo,1267.0
TONALA,(OTRO MUNICIPIO),trabajo,102144.6
TONAYA,(MISMO MUNICIPIO),trabajo,2397.5
TONAYA,(OTRA ENTIDAD),trabajo,6.0
TONAYA,(OTRO MUNICIPIO),trabajo,213.5
TONILA,(MISMO MUNICIPIO),trabajo,2738.4
TONILA,(OTRA ENTIDAD),trabajo,423.0
TONILA,(OTRO MUNICIPIO),trabajo,226.6
TOTATICHE,(MISMO MUNICIPIO),trabajo,1352.2
TOTATICHE,(OTRA ENTIDAD),trabajo,22.0
TOTATICHE,(OTRO MUNICIPIO),trabajo,48.8
TOTOTLAN,(MISMO MUNICIPIO),trabajo,8791.6
TOTOTLAN,(OTRA ENTIDAD),trabajo,27.0
TOTOTLAN,(OTRO MUNICIPIO),trabajo,423.4
TUXCACUESCO,(MISMO MUNICIPIO),trabajo,1860.9
TUXCACUESCO,(OTRA ENTIDAD),trabajo,2.0
TUXCACUESCO,(OTRO MUNICIPIO),trabajo,91.1
TUXCUECA,(MISMO MUNICIPIO),trabajo,2242.2
TUXCUECA,(OTRA ENTIDAD),trabajo,4.0
TUXCUECA,(OTRO MUNICIPIO),trabajo,336.8
TUXPAN,(MISMO MUNICIPIO),trabajo,13871.0
TUXPAN,(OTRA ENTIDAD),trabajo,153.0
TUXPAN,(OTRO MUNICIPIO),trabajo,2547.5
UNION DE SAN ANTONIO,(MISMO MUNICIPIO),trabajo,7604.2
UNION DE SAN ANTONIO,(OTRA ENTIDAD),trabajo,1759.0
UNION DE SAN ANTONIO,(OTRO MUNICIPIO),trabajo,285.8
UNION DE TULA,(MISMO MUNICIPIO),trabajo,5118.8
UNION DE TULA,(OTRA ENTIDAD),trabajo,18.0
UNION DE TULA,(OTRO MUNICIPIO),trabajo,358.2
VALLE DE GUADALUPE,(MISMO MUNICIPIO),trabajo,2755.5
VALLE DE GUADALUPE,(OTRA ENTIDAD),trabajo,13.0
VALLE DE GUADALUPE,(OTRO MUNICIPIO),trabajo,72.4
VALLE DE JUAREZ,(MISMO MUNICIPIO),trabajo,2355.5
VALLE DE JUAREZ,(OTRA ENTIDAD),trabajo,70.0
VALLE DE JUAREZ,(OTRO MUNICIPIO),trabajo,119.5
VILLA CORONA,(MISMO MUNICIPIO),trabajo,5302.1
VILLA CORONA,(OTRA ENTIDAD),trabajo,50.0
VILLA CORONA,(OTRO MUNICIPIO),trabajo,1142.9
VILLA GUERRERO,(MISMO MUNICIPIO),trabajo,1710.8
VILLA GUERRERO,(OTRA ENTIDAD),trabajo,8.0
VILLA GUERRERO,(OTRO MUNICIPIO),trabajo,54.2
VILLA HIDALGO,(MISMO MUNICIPIO),trabajo,7942.6
VILLA HIDALGO,(OTRA ENTIDAD),trabajo,73.0
VILLA HIDALGO,(OTRO MUNICIPIO),trabajo,40.4
VILLA PURIFICACION,(MISMO MUNICIPIO),trabajo,3830.9
